date,cumulative,daily
2020-01-22,0,
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,5,5.0
2020-02-25,5,0.0
2020-02-26,5,0.0
2020-02-27,5,0.0
2020-02-28,5,0.0
2020-02-29,5,0.0
2020-03-01,5,0.0
2020-03-02,5,0.0
2020-03-03,5,0.0
2020-03-04,5,0.0
2020-03-05,5,0.0
2020-03-06,5,0.0
2020-03-07,8,3.0
2020-03-08,8,0.0
2020-03-09,8,0.0
2020-03-10,8,0.0
2020-03-11,11,3.0
2020-03-12,11,0.0
2020-03-13,11,0.0
2020-03-14,14,3.0
2020-03-15,20,6.0
2020-03-16,25,5.0
2020-03-17,26,1.0
2020-03-18,26,0.0
2020-03-19,26,0.0
2020-03-20,24,-2.0
2020-03-21,24,0.0
2020-03-22,34,10.0
2020-03-23,40,6.0
2020-03-24,42,2.0
2020-03-25,74,32.0
2020-03-26,80,6.0
2020-03-27,91,11.0
2020-03-28,106,15.0
2020-03-29,114,8.0
2020-03-30,114,0.0
2020-03-31,166,52.0
2020-04-01,192,26.0
2020-04-02,235,43.0
2020-04-03,269,34.0
2020-04-04,270,1.0
2020-04-05,299,29.0
2020-04-06,337,38.0
2020-04-07,367,30.0
2020-04-08,423,56.0
2020-04-09,444,21.0
2020-04-10,521,77.0
2020-04-11,521,0.0
2020-04-12,555,34.0
2020-04-13,607,52.0
2020-04-14,665,58.0
2020-04-15,770,105.0
2020-04-16,794,24.0
2020-04-17,845,51.0
2020-04-18,908,63.0
2020-04-19,933,25.0
2020-04-20,996,63.0
2020-04-21,1026,30.0
2020-04-22,1092,66.0
2020-04-23,1176,84.0
2020-04-24,1226,50.0
2020-04-25,1330,104.0
2020-04-26,1463,133.0
2020-04-27,1531,68.0
2020-04-28,1703,172.0
2020-04-29,1827,124.0
2020-04-30,1827,0.0
2020-05-01,2171,344.0
2020-05-02,2469,298.0
2020-05-03,2469,0.0
2020-05-04,2469,0.0
2020-05-05,2469,0.0
2020-05-06,3224,755.0
2020-05-07,3392,168.0
2020-05-08,3563,171.0
2020-05-09,3563,0.0
2020-05-10,4402,839.0
2020-05-11,4664,262.0
2020-05-12,4967,303.0
2020-05-13,4967,0.0
2020-05-14,5339,372.0
2020-05-15,6053,714.0
2020-05-16,6402,349.0
2020-05-17,6635,233.0
2020-05-18,7072,437.0
2020-05-19,7655,583.0
2020-05-20,8145,490.0
2020-05-21,8676,531.0
2020-05-22,9216,540.0
2020-05-23,9952,736.0
2020-05-24,10668,716.0
2020-05-25,11180,512.0
2020-05-26,11917,737.0
2020-05-27,12465,548.0
2020-05-28,13102,637.0
2020-05-29,13745,643.0
2020-05-30,14529,784.0
2020-05-31,15180,651.0
2020-06-01,15836,656.0
2020-06-02,16578,742.0
2020-06-03,17353,775.0
2020-06-04,17977,624.0
2020-06-05,19055,1078.0
2020-06-06,19637,582.0
2020-06-07,20428,791.0
2020-06-08,21003,575.0
