Day,people_vaccinated_per_hundred,one_dose_cumulative,one_dose_daily,people_fully_vaccinated_per_hundred,two_dose_cumulative,two_dose_daily
2021-03-01,0.0,0.0,939.0285714285714,0.0,0.0,0.0
2021-03-02,0.002857142857142857,939.0285714285714,939.0285714285714,0.0,0.0,0.0
2021-03-03,0.005714285714285714,1878.0571428571427,939.0285714285714,0.0,0.0,0.0
2021-03-04,0.008571428571428572,2817.0857142857144,939.0285714285717,0.0,0.0,0.0
2021-03-05,0.011428571428571429,3756.1142857142854,939.028571428571,0.0,0.0,0.0
2021-03-06,0.014285714285714285,4695.142857142857,939.0285714285715,0.0,0.0,0.0
2021-03-07,0.017142857142857144,5634.171428571429,939.0285714285719,0.0,0.0,0.0
2021-03-08,0.02,6573.200000000001,939.0285714285719,0.0,0.0,0.0
2021-03-09,0.032,10517.12,3943.92,0.0,0.0,0.0
2021-03-10,0.044,14461.039999999999,3943.9199999999983,0.0,0.0,0.0
2021-03-11,0.05600000000000001,18404.960000000003,3943.9200000000037,0.0,0.0,0.0
2021-03-12,0.068,22348.88,3943.9199999999983,0.0,0.0,0.0
2021-03-13,0.08,26292.800000000003,3943.920000000002,0.0,0.0,0.0
2021-03-14,0.09200000000000001,30236.720000000005,3943.920000000002,0.0,0.0,0.0
2021-03-15,0.10400000000000001,34180.64000000001,3943.920000000002,0.0,0.0,0.0
2021-03-16,0.116,38124.56,3943.919999999991,0.0,0.0,0.0
2021-03-17,0.128,42068.48,3943.9200000000055,0.0,0.0,0.0
2021-03-18,0.14,46012.40000000001,3943.9200000000055,0.0,0.0,0.0
2021-03-19,0.16,52585.600000000006,6573.199999999997,0.0,0.0,0.0
2021-03-20,0.18000000000000002,59158.8,6573.199999999997,0.0,0.0,0.0
2021-03-21,0.2,65732.0,6573.199999999997,0.0,0.0,0.0
2021-03-22,0.22000000000000003,72305.2,6573.199999999997,0.0,0.0,0.0
2021-03-23,0.24000000000000002,78878.40000000001,6573.200000000012,0.0,0.0,0.0
2021-03-24,0.26,85451.59999999999,6573.1999999999825,0.0,0.0,0.0
2021-03-25,0.28600000000000003,93996.76000000001,8545.160000000018,0.0,0.0,0.0
2021-03-26,0.312,102541.92,8545.159999999989,0.0,0.0,0.0
2021-03-27,0.338,111087.08,8545.160000000003,0.0,0.0,0.0
2021-03-28,0.364,119632.24,8545.160000000003,0.0,0.0,0.0
2021-03-29,0.39,128177.40000000001,8545.160000000003,0.0,0.0,0.0
2021-03-30,0.40875,134339.775,6162.374999999985,0.0,0.0,0.0
2021-03-31,0.4275,140502.15,6162.375,0.0,0.0,0.0
2021-04-01,0.44625000000000004,146664.52500000002,6162.375000000029,0.0,0.0,0.0
2021-04-02,0.465,152826.90000000002,6162.375,0.0,0.0,0.0
2021-04-03,0.48375,158989.275,6162.374999999971,0.0,0.0,0.0
2021-04-04,0.5025000000000001,165151.65000000002,6162.375000000029,0.0,0.0,0.0
2021-04-05,0.52125,171314.025,6162.374999999971,0.0,0.0,0.0
2021-04-06,0.54,177476.40000000002,6162.375000000029,0.0,0.0,0.0
2021-04-07,0.5760000000000001,189308.16,11831.75999999998,0.0,0.0,0.0
2021-04-08,0.612,201139.91999999998,11831.75999999998,0.0,0.0,0.0
2021-04-09,0.648,212971.68000000002,11831.760000000038,0.0,0.0,0.0
2021-04-10,0.6839999999999999,224803.44,11831.75999999998,0.0,0.0,0.0
2021-04-11,0.72,236635.19999999998,11831.75999999998,0.0,0.0,0.0
2021-04-12,0.77625,255122.325,18487.12500000003,0.0,0.0,0.0
2021-04-13,0.8325,273609.45,18487.125,0.0,0.0,0.0
2021-04-14,0.8887499999999999,292096.575,18487.125,0.0,0.0,0.0
2021-04-15,0.945,310583.7,18487.125,0.0,0.0,0.0
2021-04-16,1.00125,329070.825,18487.125,0.0,0.0,0.0
2021-04-17,1.0574999999999999,347557.94999999995,18487.12499999994,0.0,0.0,0.0
2021-04-18,1.11375,366045.075,18487.12500000006,0.0,0.0,0.0
2021-04-19,1.17,384532.19999999995,18487.12499999994,0.0,0.0,0.0
2021-04-20,1.2125,398500.24999999994,13968.049999999988,0.0,0.0,0.0
2021-04-21,1.255,412468.29999999993,13968.049999999988,0.0,0.0,0.0
2021-04-22,1.2975,426436.35000000003,13968.050000000105,0.0,0.0,0.0
2021-04-23,1.34,440404.4,13968.049999999988,0.0,0.0,0.0
2021-04-24,1.3605263157894738,447150.5789473685,6746.178947368462,0.0,0.0,0.0
2021-04-25,1.3810526315789475,453896.7578947369,6746.178947368404,0.0,0.0,0.0
2021-04-26,1.401578947368421,460642.9368421053,6746.178947368404,0.0,0.0,0.0
2021-04-27,1.4221052631578948,467389.11578947364,6746.178947368346,0.0,0.0,0.0
2021-04-28,1.4426315789473685,474135.2947368421,6746.178947368462,0.0,0.0,0.0
2021-04-29,1.4631578947368422,480881.47368421056,6746.178947368462,0.0,0.0,0.0
2021-04-30,1.483684210526316,487627.65263157897,6746.178947368404,0.0,0.0,0.0
2021-05-01,1.5042105263157894,494373.83157894737,6746.178947368404,0.0,0.0,0.0
2021-05-02,1.5247368421052632,501120.0105263158,6746.178947368404,0.0,0.0,0.0
2021-05-03,1.545263157894737,507866.18947368424,6746.178947368462,0.0,0.0,0.0
2021-05-04,1.5657894736842106,514612.3684210527,6746.178947368462,0.0,0.0,0.0
2021-05-05,1.5863157894736841,521358.5473684211,6746.178947368404,0.0,0.0,0.0
2021-05-06,1.6068421052631578,528104.7263157895,6746.178947368404,0.0,0.0,0.0
2021-05-07,1.6273684210526316,534850.9052631579,6746.178947368404,0.0,0.0,0.0
2021-05-08,1.6478947368421053,541597.0842105263,6746.178947368404,0.0,0.0,0.0
2021-05-09,1.668421052631579,548343.2631578948,6746.17894736852,0.0,0.0,0.0
2021-05-10,1.6889473684210525,555089.4421052631,6746.1789473682875,0.0,0.0,0.0
2021-05-11,1.7094736842105263,561835.6210526315,6746.178947368404,0.0,0.0,0.0
2021-05-12,1.73,568581.7999999999,6746.178947368404,0.12,39439.2,5477.6666666666715
2021-05-13,1.74,571868.3999999999,3286.5999999999767,0.13666666666666666,44916.86666666667,5477.6666666666715
2021-05-14,1.75,575155.0,3286.600000000093,0.15333333333333332,50394.533333333326,5477.666666666657
2021-05-15,1.76,578441.6,3286.5999999999767,0.16999999999999998,55872.2,5477.6666666666715
2021-05-16,1.77,581728.2000000001,3286.600000000093,0.18666666666666665,61349.86666666666,5477.666666666664
2021-05-17,1.78,585014.8,3286.5999999999767,0.2033333333333333,66827.53333333333,5477.666666666664
2021-05-18,1.79,588301.4,3286.5999999999767,0.22,72305.2,5477.6666666666715
2021-05-19,1.8133333333333335,595970.1333333334,7668.733333333395,0.27,88738.20000000001,16433.000000000015
2021-05-20,1.8366666666666667,603638.8666666667,7668.733333333279,0.32,105171.20000000001,16433.0
2021-05-21,1.86,611307.6000000001,7668.733333333395,0.37,121604.20000000001,16433.0
2021-05-22,1.8780000000000001,617223.4800000001,5915.880000000005,0.412,135407.91999999998,13803.719999999972
2021-05-23,1.8960000000000001,623139.36,5915.879999999888,0.45399999999999996,149211.63999999998,13803.720000000001
2021-05-24,1.914,629055.24,5915.880000000005,0.496,163015.36,13803.720000000001
2021-05-25,1.932,634971.12,5915.880000000005,0.538,176819.08000000002,13803.72000000003
2021-05-26,1.95,640887.0,5915.880000000005,0.58,190622.8,13803.719999999972
2021-05-27,1.96,644173.6,3286.5999999999767,0.6,197196.0,6573.200000000012
2021-05-28,1.97,647460.2,3286.5999999999767,0.62,203769.19999999998,6573.1999999999825
2021-05-29,1.98,650746.7999999999,3286.5999999999767,0.64,210342.40000000002,6573.200000000041
