Day,people_vaccinated_per_hundred,one_dose_cumulative,one_dose_daily,people_fully_vaccinated_per_hundred,two_dose_cumulative,two_dose_daily
2021-01-10,3.35,331851.0,21793.199999999953,0.57,56464.19999999999,2971.80000000001
2021-01-11,3.57,353644.19999999995,21793.199999999953,0.6,59436.0,2971.80000000001
2021-01-12,3.87,383362.2,29718.00000000006,0.63,62407.8,2971.800000000003
2021-01-13,4.28,423976.80000000005,40614.600000000035,0.64,63398.4,990.5999999999985
2021-01-14,4.74,469544.4,45567.59999999998,0.65,64389.00000000001,990.6000000000058
2021-01-15,5.24,519074.4,49530.0,0.66,65379.6,990.5999999999913
2021-01-16,5.68,562660.7999999999,43586.39999999991,0.66,65379.6,0.0
2021-01-17,5.96,590397.6,27736.800000000047,0.66,65379.6,0.0
2021-01-18,6.26,620115.6,29718.0,0.67,66370.2,990.5999999999985
2021-01-19,6.76,669645.6,49530.0,0.68,67360.8,990.6000000000058
2021-01-20,7.29,722147.4,52501.80000000005,0.68,67360.8,0.0
2021-01-21,7.89,781583.4,59436.0,0.68,67360.8,0.0
2021-01-22,8.59,850925.4,69342.0,0.69,68351.4,990.5999999999913
2021-01-23,9.31,922248.6,71323.19999999995,0.69,68351.4,0.0
2021-01-24,9.64,954938.4,32689.800000000047,0.69,68351.4,0.0
2021-01-25,10.05,995553.0000000001,40614.60000000009,0.69,68351.4,0.0
2021-01-26,10.5,1040130.0,44576.99999999988,0.7,69342.0,990.6000000000058
2021-01-27,10.96,1085697.6,45567.60000000009,0.7,69342.0,0.0
2021-01-28,11.57,1146124.2,60426.59999999986,0.7,69342.0,0.0
2021-01-29,12.28,1216456.7999999998,70332.59999999986,0.7,69342.0,0.0
2021-01-30,13.16,1303629.5999999999,87172.80000000005,0.72,71323.2,1981.199999999997
2021-01-31,13.63,1350187.8,46558.200000000186,0.72,71323.2,0.0
2021-02-01,14.14,1400708.4,50520.59999999986,0.73,72313.8,990.6000000000058
2021-02-02,14.69,1455191.4000000001,54483.00000000023,0.73,72313.8,0.0
2021-02-03,15.38,1523542.8000000003,68351.40000000014,0.74,73304.40000000001,990.6000000000058
2021-02-04,16.08,1592884.7999999998,69341.99999999953,0.74,73304.40000000001,0.0
2021-02-05,16.81,1665198.6,72313.80000000028,0.75,74295.0,990.5999999999913
2021-02-06,17.62,1745437.2000000002,80238.6000000001,0.75,74295.0,0.0
2021-02-07,18.02,1785061.2,39623.99999999977,0.75,74295.0,0.0
2021-02-08,18.54,1836572.4,51511.19999999995,0.76,75285.6,990.6000000000058
2021-02-09,19.15,1896998.9999999998,60426.59999999986,0.76,75285.6,0.0
2021-02-10,19.81,1962378.6,65379.600000000326,0.77,76276.2,990.5999999999913
2021-02-11,20.54,2034692.4,72313.79999999981,0.78,77266.8,990.6000000000058
2021-02-12,21.34,2113940.4,79248.0,0.78,77266.8,0.0
2021-02-13,22.08,2187244.8,73304.3999999999,0.79,78257.40000000001,990.6000000000058
2021-02-14,22.43,2221915.8,34671.0,0.79,78257.40000000001,0.0
2021-02-15,22.84,2262530.4,40614.60000000009,0.8,79248.0,990.5999999999913
2021-02-16,23.37,2315032.2,52501.80000000028,0.82,81229.19999999998,1981.1999999999825
2021-02-17,24.08,2385364.8,70332.59999999963,0.84,83210.4,1981.2000000000116
2021-02-18,24.74,2450744.4,65379.60000000009,0.86,85191.6,1981.2000000000116
2021-02-19,25.29,2505227.4,54483.0,0.89,88163.4,2971.7999999999884
2021-02-20,25.78,2553766.8000000003,48539.40000000037,0.9,89154.00000000001,990.6000000000204
2021-02-21,25.99,2574569.3999999994,20802.59999999916,0.92,91135.2,1981.1999999999825
2021-02-22,26.27,2602306.1999999997,27736.80000000028,0.94,93116.39999999998,1981.1999999999825
2021-02-23,26.75,2649855.0,47548.80000000028,0.98,97078.8,3962.4000000000233
2021-02-24,27.4,2714243.9999999995,64388.999999999534,1.03,102031.8,4953.0
2021-02-25,28.12,2785567.2,71323.20000000065,1.08,106984.8,4953.0
2021-02-26,28.86,2858871.5999999996,73304.39999999944,1.13,111937.79999999999,4952.999999999985
2021-02-27,29.45,2917317.0,58445.40000000037,1.17,115900.19999999998,3962.399999999994
2021-02-28,29.73,2945053.8000000003,27736.80000000028,1.2,118872.0,2971.8000000000175
2021-03-01,30.02,2973781.2,28727.399999999907,1.24,122834.4,3962.399999999994
2021-03-02,30.35,3006471.0,32689.799999999814,1.31,129768.6,6934.200000000012
2021-03-03,30.76,3047085.6000000006,40614.60000000056,1.41,139674.6,9906.0
2021-03-04,31.31,3101568.6,54482.999999999534,1.52,150571.2,10896.600000000006
2021-03-05,31.96,3165957.6,64389.0,1.6,158496.0,7924.799999999988
2021-03-06,32.57,3226384.1999999997,60426.59999999963,1.65,163449.0,4953.0
2021-03-07,32.81,3250158.6,23774.400000000373,1.68,166420.8,2971.7999999999884
2021-03-08,33.12,3280867.1999999997,30708.599999999627,1.73,171373.8,4953.0
2021-03-09,33.44,3312566.4,31699.200000000186,1.84,182270.4,10896.600000000006
2021-03-10,33.8,3348227.9999999995,35661.59999999963,1.98,196138.8,13868.399999999994
2021-03-11,34.18,3385870.8,37642.80000000028,2.12,210007.2,13868.400000000023
2021-03-12,34.72,3439363.2,53492.40000000037,2.25,222885.0,12877.799999999988
2021-03-13,35.47,3513658.2,74295.0,2.32,229819.19999999998,6934.1999999999825
2021-03-14,35.85,3551301.0000000005,37642.80000000028,2.36,233781.6,3962.4000000000233
2021-03-15,36.42,3607765.2,56464.19999999972,2.44,241706.4,7924.799999999988
2021-03-16,37.05,3670173.0,62407.799999999814,2.58,255574.8,13868.399999999994
2021-03-17,37.73,3737533.8,67360.79999999981,2.75,272415.0,16840.20000000001
2021-03-18,38.51,3814800.6,77266.80000000028,2.95,292227.0,19812.0
2021-03-19,39.41,3903954.5999999996,89153.99999999953,3.13,310057.8,17830.79999999999
2021-03-20,40.51,4012920.5999999996,108966.0,3.27,323926.2,13868.400000000023
2021-03-21,41.05,4066412.9999999995,53492.39999999991,3.34,330860.39999999997,6934.199999999953
2021-03-22,41.53,4113961.8,47548.80000000028,3.47,343738.2,12877.800000000047
2021-03-23,42.01,4161510.5999999996,47548.799999999814,3.71,367512.60000000003,23774.400000000023
2021-03-24,42.5,4210050.0,48539.40000000037,4.07,403174.2,35661.59999999998
2021-03-25,42.98,4257598.8,47548.799999999814,4.41,436854.6,33680.399999999965
2021-03-26,43.58,4317034.8,59436.0,4.83,478459.80000000005,41605.20000000007
2021-03-27,44.21,4379442.6,62407.799999999814,5.18,513130.8,34670.99999999994
2021-03-28,44.64,4422038.4,42595.800000000745,5.4,534924.0000000001,21793.200000000128
2021-03-29,44.98,4455718.8,33680.39999999944,5.64,558698.4,23774.399999999907
2021-03-30,45.31,4488408.6,32689.799999999814,6.05,599313.0,40614.59999999998
2021-03-31,45.67,4524070.2,35661.60000000056,6.62,655777.2,56464.19999999995
2021-04-01,45.92,4548835.2,24765.0,7.27,720166.2,64389.0
2021-04-02,46.07,4563694.2,14859.0,7.63,755827.7999999999,35661.59999999998
2021-04-03,46.23,4579543.8,15849.599999999627,7.89,781583.4,25755.600000000093
2021-04-04,46.3,4586478.0,6934.200000000186,7.96,788517.6000000001,6934.20000000007
2021-04-05,46.36,4592421.600000001,5943.600000000559,8.06,798423.6000000001,9906.0
2021-04-06,46.49,4605299.4,12877.799999999814,8.33,825169.8,26746.199999999953
2021-04-07,46.63,4619167.800000001,13868.400000000373,8.93,884605.7999999999,59435.99999999988
2021-04-08,46.77,4633036.2,13868.399999999441,9.59,949985.4,65379.60000000009
2021-04-09,46.93,4648885.8,15849.599999999627,10.25,1015364.9999999999,65379.59999999986
2021-04-10,47.09,4664735.4,15849.600000000559,10.95,1084706.9999999998,69341.99999999988
2021-04-11,47.2,4675632.0,10896.599999999627,11.22,1111453.2000000002,26746.20000000042
2021-04-12,47.28,4683556.8,7924.799999999814,11.52,1141171.2,29717.999999999767
2021-04-13,47.39,4694453.399999999,10896.599999999627,11.98,1186738.8,45567.60000000009
2021-04-14,47.57,4712284.2,17830.800000000745,12.48,1236268.8,49530.0
2021-04-15,47.76,4731105.6,18821.39999999944,13.09,1296695.4,60426.59999999986
2021-04-16,47.96,4750917.600000001,19812.00000000093,13.83,1369999.8,73304.40000000014
2021-04-17,48.16,4770729.6,19811.99999999907,14.56,1442313.6,72313.80000000005
2021-04-18,48.28,4782616.8,11887.200000000186,14.88,1474012.8,31699.199999999953
2021-04-19,48.43,4797475.8,14859.0,15.29,1514627.4,40614.59999999986
2021-04-20,48.59,4813325.4,15849.600000000559,15.8,1565148.0,50520.60000000009
2021-04-21,48.76,4830165.6,16840.199999999255,16.41,1625574.5999999999,60426.59999999986
2021-04-22,48.95,4848987.0,18821.400000000373,17.04,1687982.4,62407.80000000005
2021-04-23,49.15,4868799.0,19812.0,17.72,1755343.2,67360.80000000005
2021-04-24,49.37,4890592.2,21793.200000000186,18.53,1835581.8000000003,80238.60000000033
2021-04-25,49.49,4902479.4,11887.200000000186,18.91,1873224.5999999999,37642.79999999958
2021-04-26,49.62,4915357.2,12877.799999999814,19.36,1917801.5999999999,44577.0
2021-04-27,49.79,4932197.4,16840.200000000186,19.91,1972284.6,54483.00000000023
2021-04-28,49.99,4952009.4,19812.0,20.59,2039645.4,67360.79999999981
2021-04-29,50.17,4969840.2,17830.799999999814,21.31,2110968.5999999996,71323.19999999972
2021-04-30,50.38,4990642.8,20802.599999999627,21.93,2172385.8,61417.200000000186
2021-05-01,50.59,5011445.4,20802.60000000056,22.48,2226868.8,54483.0
2021-05-02,50.72,5024323.2,12877.799999999814,22.73,2251633.8,24765.0
2021-05-03,50.83,5035219.8,10896.599999999627,22.92,2270455.2,18821.400000000373
2021-05-04,51.01,5053050.6,17830.799999999814,23.29,2307107.4,36652.19999999972
2021-05-05,51.22,5073853.2,20802.60000000056,23.89,2366543.4,59436.0
2021-05-06,51.42,5093665.2,19812.0,24.58,2434894.8,68351.3999999999
2021-05-07,51.61,5112486.6,18821.39999999944,25.26,2502255.6,67360.80000000028
2021-05-08,51.86,5137251.6,24765.0,25.91,2566644.6,64389.0
2021-05-09,52.01,5152110.6,14859.0,26.18,2593390.8,26746.19999999972
2021-05-10,52.18,5168950.800000001,16840.200000001118,26.52,2627071.1999999997,33680.39999999991
2021-05-11,52.37,5187772.199999999,18821.39999999851,27.03,2677591.8,50520.60000000009
2021-05-12,52.64,5214518.399999999,26746.200000000186,27.7,2743961.9999999995,66370.19999999972
2021-05-13,52.95,5245227.000000001,30708.60000000149,28.32,2805379.2,61417.20000000065
2021-05-14,53.27,5276926.2,31699.199999999255,28.9,2862834.0,57454.799999999814
2021-05-15,53.62,5311597.2,34671.0,29.47,2919298.1999999997,56464.19999999972
2021-05-16,53.81,5330418.600000001,18821.400000000373,29.74,2946044.4,26746.200000000186
2021-05-17,53.97,5346268.199999999,15849.599999998696,30.12,2983687.2,37642.80000000028
2021-05-18,54.23,5372023.8,25755.60000000056,30.6,3031236.0,47548.799999999814
2021-05-19,54.61,5409666.600000001,37642.800000000745,31.14,3084728.4,53492.39999999991
2021-05-20,55.01,5449290.600000001,39624.0,31.76,3146145.6,61417.200000000186
2021-05-21,55.33,5480989.8,31699.199999999255,32.38,3207562.8000000003,61417.200000000186
2021-05-22,55.63,5510707.8,29718.0,33.2,3288792.0,81229.19999999972
2021-05-23,55.82,5529529.2,18821.400000000373,33.57,3325444.2,36652.200000000186
2021-05-24,55.99,5546369.4,16840.200000000186,34.06,3373983.6,48539.39999999991
2021-05-25,56.27,5574106.2,27736.799999999814,34.62,3429457.1999999997,55473.59999999963
2021-05-26,56.61,5607786.600000001,33680.40000000037,35.25,3491865.0,62407.80000000028
2021-05-27,56.99,5645429.4,37642.799999999814,35.89,3555263.4,63398.39999999991
2021-05-28,57.29,5675147.399999999,29717.99999999907,36.53,3618661.8000000003,63398.40000000037
