Day,people_vaccinated_per_hundred,one_dose_cumulative,one_dose_daily,people_fully_vaccinated_per_hundred,two_dose_cumulative,two_dose_daily
2021-01-10,3.35,1236518.5,81204.19999999995,0.57,210392.69999999998,11073.300000000017
2021-01-11,3.57,1317722.7,81204.19999999995,0.6,221466.0,11073.300000000017
2021-01-12,3.87,1428455.7,110733.0,0.63,232539.3,11073.299999999988
2021-01-13,4.28,1579790.8000000003,151335.10000000033,0.64,236230.40000000002,3691.100000000035
2021-01-14,4.74,1749581.4000000001,169790.59999999986,0.65,239921.50000000003,3691.100000000006
2021-01-15,5.24,1934136.4000000001,184555.0,0.66,243612.6,3691.0999999999767
2021-01-16,5.68,2096544.7999999998,162408.39999999967,0.66,243612.6,0.0
2021-01-17,5.96,2199895.6,103350.80000000028,0.66,243612.6,0.0
2021-01-18,6.26,2310628.6,110733.0,0.67,247303.7,3691.100000000006
2021-01-19,6.76,2495183.5999999996,184554.99999999953,0.68,250994.80000000002,3691.100000000006
2021-01-20,7.29,2690811.9000000004,195628.30000000075,0.68,250994.80000000002,0.0
2021-01-21,7.89,2912277.9,221465.99999999953,0.68,250994.80000000002,0.0
2021-01-22,8.59,3170654.9000000004,258377.00000000047,0.69,254685.9,3691.0999999999767
2021-01-23,9.31,3436414.1,265759.1999999997,0.69,254685.9,0.0
2021-01-24,9.64,3558220.4,121806.29999999981,0.69,254685.9,0.0
2021-01-25,10.05,3709555.5,151335.1000000001,0.69,254685.9,0.0
2021-01-26,10.5,3875655.0,166099.5,0.7,258376.99999999997,3691.0999999999767
2021-01-27,10.96,4045445.6,169790.6000000001,0.7,258376.99999999997,0.0
2021-01-28,11.57,4270602.7,225157.1000000001,0.7,258376.99999999997,0.0
2021-01-29,12.28,4532670.8,262068.09999999963,0.7,258376.99999999997,0.0
2021-01-30,13.16,4857487.6,324816.7999999998,0.72,265759.2,7382.200000000041
2021-01-31,13.63,5030969.3,173481.7000000002,0.72,265759.2,0.0
2021-02-01,14.14,5219215.4,188246.10000000056,0.73,269450.3,3691.0999999999767
2021-02-02,14.69,5422225.9,203010.5,0.73,269450.3,0.0
2021-02-03,15.38,5676911.800000001,254685.90000000037,0.74,273141.4,3691.100000000035
2021-02-04,16.08,5935288.799999999,258376.99999999814,0.74,273141.4,0.0
2021-02-05,16.81,6204739.1,269450.30000000075,0.75,276832.5,3691.0999999999767
2021-02-06,17.62,6503718.200000001,298979.1000000015,0.75,276832.5,0.0
2021-02-07,18.02,6651362.2,147643.99999999907,0.75,276832.5,0.0
2021-02-08,18.54,6843299.399999999,191937.19999999925,0.76,280523.6,3691.0999999999767
2021-02-09,19.15,7068456.499999999,225157.09999999963,0.76,280523.6,0.0
2021-02-10,19.81,7312069.1,243612.60000000056,0.77,284214.7,3691.100000000035
2021-02-11,20.54,7581519.4,269450.30000000075,0.78,287905.80000000005,3691.100000000035
2021-02-12,21.34,7876807.4,295288.0,0.78,287905.80000000005,0.0
2021-02-13,22.08,8149948.8,273141.39999999944,0.79,291596.9,3691.0999999999767
2021-02-14,22.43,8279137.3,129188.5,0.79,291596.9,0.0
2021-02-15,22.84,8430472.4,151335.10000000056,0.8,295288.0,3691.0999999999767
2021-02-16,23.37,8626100.700000001,195628.30000000075,0.82,302670.19999999995,7382.199999999953
2021-02-17,24.08,8888168.799999999,262068.09999999776,0.84,310052.39999999997,7382.200000000012
2021-02-18,24.74,9131781.399999999,243612.59999999963,0.86,317434.6,7382.200000000012
2021-02-19,25.29,9334791.9,203010.50000000186,0.89,328507.9,11073.300000000047
2021-02-20,25.78,9515655.8,180863.90000000037,0.9,332199.00000000006,3691.100000000035
2021-02-21,25.99,9593168.899999999,77513.09999999776,0.92,339581.2,7382.199999999953
2021-02-22,26.27,9696519.7,103350.80000000075,0.94,346963.39999999997,7382.199999999953
2021-02-23,26.75,9873692.5,177172.80000000075,0.98,361727.8,14764.400000000023
2021-02-24,27.4,10113613.999999998,239921.49999999814,1.03,380183.3,18455.5
2021-02-25,28.12,10379373.200000001,265759.200000003,1.08,398638.80000000005,18455.50000000006
2021-02-26,28.86,10652514.6,273141.3999999985,1.13,417094.3,18455.49999999994
2021-02-27,29.45,10870289.5,217774.90000000037,1.17,431858.69999999995,14764.399999999965
