Day,people_vaccinated_per_hundred,one_dose_cumulative,one_dose_daily,people_fully_vaccinated_per_hundred,two_dose_cumulative,two_dose_daily
2020-12-13,0.01,3125.8,0.0,0.0,0.0,0.0
2020-12-14,0.01,3125.8,0.0,0.0,0.0,0.0
2020-12-15,0.02,6251.6,3125.8,0.0,0.0,0.0
2020-12-16,0.07,21880.600000000002,15629.000000000002,0.0,0.0,0.0
2020-12-17,0.15,46887.0,25006.399999999998,0.0,0.0,0.0
2020-12-18,0.27,84396.6,37509.600000000006,0.0,0.0,0.0
2020-12-19,0.32,100025.6,15629.0,0.0,0.0,0.0
2020-12-20,0.35,109402.99999999999,9377.39999999998,0.0,0.0,0.0
2020-12-21,0.47,146912.59999999998,37509.59999999999,0.0,0.0,0.0
2020-12-22,0.6,187548.0,40635.40000000002,0.0,0.0,0.0
2020-12-23,0.77,240686.6,53138.600000000006,0.0,0.0,0.0
2020-12-24,0.83,259441.4,18754.79999999999,0.01,3125.8,3125.8
2020-12-25,0.83,259441.4,0.0,0.01,3125.8,0.0
2020-12-26,0.87,271944.6,12503.199999999983,0.01,3125.8,0.0
2020-12-27,0.9,281322.00000000006,9377.400000000081,0.01,3125.8,0.0
2020-12-28,1.07,334460.60000000003,53138.59999999998,0.01,3125.8,0.0
2020-12-29,1.28,400102.4,65641.79999999999,0.01,3125.8,0.0
2020-12-30,1.53,478247.4,78145.0,0.01,3125.8,0.0
2020-12-31,1.65,515757.0,37509.59999999998,0.01,3125.8,0.0
2021-01-01,1.68,525134.4,9377.400000000023,0.01,3125.8,0.0
2021-01-02,1.76,550140.8,25006.400000000023,0.01,3125.8,0.0
2021-01-03,1.8,562644.0000000001,12503.20000000007,0.02,6251.6,3125.8
2021-01-04,1.98,618908.3999999999,56264.39999999979,0.03,9377.4,3125.7999999999993
2021-01-05,2.19,684550.2,65641.80000000005,0.06,18754.8,9377.4
2021-01-06,2.44,762695.2,78145.0,0.11,34383.8,15629.000000000004
2021-01-07,2.7,843966.0000000001,81270.80000000016,0.19,59390.2,25006.399999999994
2021-01-08,2.96,925236.8,81270.79999999993,0.3,93774.0,34383.8
2021-01-09,3.07,959620.6,34383.79999999993,0.34,106277.20000000001,12503.200000000012
2021-01-10,3.12,975249.6000000001,15629.000000000116,0.36,112528.8,6251.599999999991
2021-01-11,3.34,1044017.2,68767.59999999986,0.46,143786.8,31257.999999999985
2021-01-12,3.62,1131539.6,87522.40000000014,0.55,171919.00000000003,28132.20000000004
2021-01-13,3.93,1228439.4000000001,96899.80000000005,0.63,196925.4,25006.399999999965
2021-01-14,4.27,1334716.5999999999,106277.19999999972,0.67,209428.6,12503.200000000012
2021-01-15,4.61,1440993.8,106277.20000000019,0.71,221931.8,12503.199999999983
2021-01-16,4.78,1494132.4000000001,53138.60000000009,0.73,228183.4,6251.600000000006
2021-01-17,4.86,1519138.8,25006.399999999907,0.74,231309.2,3125.8000000000175
2021-01-18,5.05,1578529.0,59390.19999999995,0.81,253189.80000000005,21880.600000000035
2021-01-19,5.34,1669177.2,90648.19999999995,0.92,287573.6,34383.79999999993
2021-01-20,5.69,1778580.2000000002,109403.00000000023,1.04,325083.2,37509.600000000035
2021-01-21,6.08,1900486.4,121906.19999999972,1.12,350089.60000000003,25006.400000000023
2021-01-22,6.5,2031770.0,131283.6000000001,1.19,371970.19999999995,21880.59999999992
2021-01-23,6.73,2103663.4,71893.3999999999,1.23,384473.4,12503.20000000007
2021-01-24,6.82,2131795.6,28132.200000000186,1.26,393850.8,9377.399999999965
2021-01-25,7.08,2213066.4,81270.79999999981,1.4,437611.99999999994,43761.19999999995
2021-01-26,7.39,2309966.1999999997,96899.79999999981,1.58,493876.4,56264.40000000008
2021-01-27,7.77,2428746.5999999996,118780.3999999999,1.77,553266.6,59390.19999999995
2021-01-28,8.18,2556904.4,128157.80000000028,1.94,606405.2000000001,53138.60000000009
2021-01-29,8.59,2685062.2,128157.80000000028,2.08,650166.4,43761.19999999995
2021-01-30,8.82,2756955.6,71893.3999999999,2.16,675172.8,25006.400000000023
2021-01-31,8.92,2788213.6,31258.0,2.19,684550.2,9377.399999999907
2021-02-01,9.15,2860107.0,71893.3999999999,2.36,737688.7999999999,53138.59999999998
2021-02-02,9.44,2950755.1999999997,90648.19999999972,2.57,803330.5999999999,65641.79999999993
2021-02-03,9.81,3066409.8000000003,115654.60000000056,2.82,881475.6,78145.00000000012
2021-02-04,10.23,3197693.4,131283.59999999963,3.1,968998.0,87522.40000000002
2021-02-05,10.64,3325851.2,128157.80000000028,3.38,1056520.4,87522.3999999999
2021-02-06,10.89,3403996.2,78145.0,3.51,1097155.8,40635.40000000014
2021-02-07,10.98,3432128.4000000004,28132.200000000186,3.56,1112784.8,15629.0
2021-02-08,11.23,3510273.4000000004,78145.0,3.77,1178426.5999999999,65641.79999999981
2021-02-09,11.54,3607173.1999999997,96899.79999999935,4.03,1259697.4000000001,81270.80000000028
2021-02-10,11.91,3722827.8,115654.6000000001,4.34,1356597.2,96899.79999999981
2021-02-11,12.29,3841608.1999999997,118780.3999999999,4.67,1459748.5999999999,103151.3999999999
2021-02-12,12.71,3972891.8000000007,131283.60000000102,5.01,1566025.8,106277.20000000019
2021-02-13,12.97,4054162.6,81270.79999999935,5.19,1622290.2,56264.39999999991
2021-02-14,13.07,4085420.6000000006,31258.000000000466,5.25,1641045.0,18754.800000000047
2021-02-15,13.26,4144810.8,59390.199999999255,5.41,1691057.8,50012.80000000005
2021-02-16,13.5,4219830.0,75019.20000000019,5.65,1766077.0,75019.19999999995
2021-02-17,13.78,4307352.4,87522.40000000037,5.95,1859851.0000000002,93774.00000000023
2021-02-18,14.03,4385497.399999999,78144.99999999907,6.24,1950499.2000000002,90648.19999999995
2021-02-19,14.28,4463642.399999999,78145.0,6.57,2053650.6000000003,103151.40000000014
2021-02-20,14.46,4519906.8,56264.40000000037,6.77,2116166.6,62515.99999999977
2021-02-21,14.53,4541787.399999999,21880.599999999627,6.87,2147424.6,31258.0
2021-02-22,14.72,4601177.6,59390.200000000186,7.11,2222443.8,75019.19999999972
2021-02-23,14.98,4682448.4,81270.80000000075,7.41,2316217.8,93774.0
2021-02-24,15.35,4798103.0,115654.59999999963,7.78,2431872.4000000004,115654.60000000056
2021-02-25,15.81,4941889.800000001,143786.80000000075,8.18,2556904.4,125031.99999999953
2021-02-26,16.32,5101305.600000001,159415.7999999998,8.6,2688188.0,131283.6000000001
2021-02-27,16.66,5207582.8,106277.19999999925,8.84,2763207.1999999997,75019.19999999972
2021-02-28,16.82,5257595.600000001,50012.800000000745,8.93,2791339.4,28132.200000000186
2021-03-01,17.18,5370124.4,112528.79999999981,9.17,2866358.6,75019.20000000019
2021-03-02,17.62,5507659.600000001,137535.2000000002,9.45,2953880.9999999995,87522.39999999944
2021-03-03,18.14,5670201.2,162541.59999999963,9.79,3060158.1999999997,106277.20000000019
