Day,people_vaccinated_per_hundred,one_dose_cumulative,one_dose_daily,people_fully_vaccinated_per_hundred,two_dose_cumulative,two_dose_daily
2020-12-27,0.01,1838.5,0.0,0.0,0.0,0.0
2020-12-28,0.01,1838.5,0.0,0.0,0.0,0.0
2020-12-29,0.02,3677.0,1838.5,0.0,0.0,0.0
2020-12-30,0.02,3677.0,0.0,0.0,0.0,0.0
2020-12-31,0.07,12869.500000000002,9192.500000000002,0.0,0.0,0.0
2021-01-01,0.09,16546.5,3676.999999999998,0.0,0.0,0.0
2021-01-02,0.15,27577.5,11031.0,0.0,0.0,0.0
2021-01-03,0.21,38608.5,11031.0,0.0,0.0,0.0
2021-01-04,0.33,60670.5,22062.0,0.0,0.0,0.0
2021-01-05,0.46,84571.0,23900.5,0.0,0.0,0.0
2021-01-06,0.57,104794.49999999999,20223.499999999985,0.0,0.0,0.0
2021-01-07,0.72,132372.0,27577.500000000015,0.0,0.0,0.0
2021-01-08,0.88,161788.0,29416.0,0.0,0.0,0.0
2021-01-09,1.03,189365.5,27577.5,0.0,0.0,0.0
2021-01-10,1.13,207750.5,18385.0,0.0,0.0,0.0
2021-01-11,1.26,231651.0,23900.5,0.0,0.0,0.0
2021-01-12,1.4,257389.99999999997,25738.99999999997,0.0,0.0,0.0
2021-01-13,1.56,286806.0,29416.00000000003,0.0,0.0,0.0
2021-01-14,1.72,316222.0,29416.0,0.0,0.0,0.0
2021-01-15,1.87,343799.5,27577.5,0.0,0.0,0.0
2021-01-16,1.98,364022.99999999994,20223.49999999994,0.0,0.0,0.0
2021-01-17,2.04,375054.0,11031.000000000058,0.0,0.0,0.0
2021-01-18,2.1,386085.0,11031.0,0.01,1838.5,1838.5
2021-01-19,2.15,395277.49999999994,9192.499999999942,0.02,3677.0,1838.5
2021-01-20,2.2,404470.00000000006,9192.500000000116,0.02,3677.0,0.0
2021-01-21,2.23,409985.5,5515.499999999942,0.06,11030.999999999998,7353.999999999998
2021-01-22,2.25,413662.5,3677.0,0.08,14708.0,3677.000000000002
2021-01-23,2.26,415501.0,1838.5,0.14,25739.000000000004,11031.000000000004
2021-01-24,2.26,415501.0,0.0,0.19,34931.5,9192.499999999996
2021-01-25,2.27,417339.5,1838.5,0.29,53316.49999999999,18384.999999999993
2021-01-26,2.28,419177.99999999994,1838.4999999999418,0.42,77217.0,23900.500000000007
2021-01-27,2.29,421016.5,1838.5000000000582,0.53,97440.5,20223.5
2021-01-28,2.3,422855.0,1838.5,0.68,125018.00000000001,27577.500000000015
2021-01-29,2.31,424693.5,1838.5,0.83,152595.5,27577.499999999985
2021-01-30,2.31,424693.5,0.0,0.98,180173.0,27577.5
2021-01-31,2.32,426531.99999999994,1838.4999999999418,1.07,196719.50000000003,16546.50000000003
2021-02-01,2.33,428370.5,1838.5000000000582,1.21,222458.5,25738.99999999997
2021-02-02,2.34,430208.99999999994,1838.4999999999418,1.34,246359.0,23900.5
2021-02-03,2.35,432047.5,1838.5000000000582,1.49,273936.5,27577.5
2021-02-04,2.37,435724.50000000006,3677.000000000058,1.65,303352.5,29416.0
2021-02-05,2.4,441240.0,5515.499999999942,1.8,330930.00000000006,27577.50000000006
2021-02-06,2.43,446755.50000000006,5515.500000000058,1.91,351153.5,20223.49999999994
2021-02-07,2.44,448593.99999999994,1838.4999999998836,1.96,360346.0,9192.5
2021-02-08,2.49,457786.50000000006,9192.500000000116,2.03,373215.5,12869.5
2021-02-09,2.55,468817.49999999994,11030.999999999884,2.08,382408.0,9192.5
2021-02-10,2.62,481687.0,12869.500000000058,2.13,391600.5,9192.5
2021-02-11,2.71,498233.5,16546.5,2.16,397116.0,5515.5
2021-02-12,2.81,516618.5,18385.0,2.19,402631.5,5515.5
2021-02-13,2.89,531326.5,14708.0,2.2,404470.00000000006,1838.5000000000582
2021-02-14,2.93,538680.5,7354.0,2.2,404470.00000000006,0.0
2021-02-15,3.03,557065.5,18385.0,2.21,406308.49999999994,1838.4999999998836
2021-02-16,3.14,577289.0000000001,20223.500000000116,2.22,408147.0,1838.5000000000582
2021-02-17,3.25,597512.5,20223.499999999884,2.24,411824.00000000006,3677.000000000058
2021-02-18,3.39,623251.5,25739.0,2.25,413662.5,1838.4999999999418
2021-02-19,3.53,648990.5,25739.0,2.27,417339.5,3677.0
2021-02-20,3.66,672891.0,23900.5,2.27,417339.5,0.0
2021-02-21,3.74,687599.0,14708.0,2.28,419177.99999999994,1838.4999999999418
2021-02-22,3.91,718853.5,31254.5,2.29,421016.5,1838.5000000000582
2021-02-23,4.07,748269.5,29416.0,2.3,422855.0,1838.5
2021-02-24,4.26,783201.0,34931.5,2.31,424693.5,1838.5
2021-02-25,4.46,819971.0,36770.0,2.33,428370.5,3677.0
2021-02-26,4.66,856741.0,36770.0,2.35,432047.5,3677.0
2021-02-27,4.85,891672.4999999999,34931.49999999988,2.37,435724.50000000006,3677.000000000058
2021-02-28,4.97,913734.4999999999,22062.0,2.39,439401.5,3676.999999999942
2021-03-01,5.16,948666.0,34931.50000000012,2.43,446755.50000000006,7354.000000000058
2021-03-02,5.37,987274.5,38608.5,2.48,455948.0,9192.499999999942
2021-03-03,5.62,1033237.0,45962.5,2.55,468817.49999999994,12869.499999999942
2021-03-04,5.87,1079199.5,45962.5,2.63,483525.5,14708.000000000058
2021-03-05,6.12,1125162.0,45962.5,2.72,500072.00000000006,16546.50000000006
