Day,people_vaccinated_per_hundred,one_dose_cumulative,one_dose_daily,people_fully_vaccinated_per_hundred,two_dose_cumulative,two_dose_daily
2020-12-13,0.01,1838.5,0.0,0.0,0.0,0.0
2020-12-14,0.01,1838.5,0.0,0.0,0.0,0.0
2020-12-15,0.02,3677.0,1838.5,0.0,0.0,0.0
2020-12-16,0.07,12869.500000000002,9192.500000000002,0.0,0.0,0.0
2020-12-17,0.15,27577.5,14707.999999999998,0.0,0.0,0.0
2020-12-18,0.27,49639.5,22062.0,0.0,0.0,0.0
2020-12-19,0.32,58832.0,9192.5,0.0,0.0,0.0
2020-12-20,0.35,64347.49999999999,5515.499999999993,0.0,0.0,0.0
2020-12-21,0.47,86409.49999999999,22061.999999999993,0.0,0.0,0.0
2020-12-22,0.6,110310.0,23900.500000000015,0.0,0.0,0.0
2020-12-23,0.77,141564.5,31254.5,0.0,0.0,0.0
2020-12-24,0.83,152595.5,11031.0,0.01,1838.5,1838.5
2020-12-25,0.83,152595.5,0.0,0.01,1838.5,0.0
2020-12-26,0.87,159949.5,7354.0,0.01,1838.5,0.0
2020-12-27,0.9,165465.00000000003,5515.500000000029,0.01,1838.5,0.0
2020-12-28,1.07,196719.50000000003,31254.5,0.01,1838.5,0.0
2020-12-29,1.28,235328.0,38608.49999999997,0.01,1838.5,0.0
2020-12-30,1.53,281290.5,45962.5,0.01,1838.5,0.0
2020-12-31,1.65,303352.5,22062.0,0.01,1838.5,0.0
2021-01-01,1.68,308868.0,5515.5,0.01,1838.5,0.0
2021-01-02,1.76,323576.0,14708.0,0.01,1838.5,0.0
2021-01-03,1.8,330930.00000000006,7354.000000000058,0.02,3677.0,1838.5
2021-01-04,1.98,364022.99999999994,33092.99999999988,0.03,5515.499999999999,1838.499999999999
2021-01-05,2.19,402631.5,38608.50000000006,0.06,11030.999999999998,5515.499999999999
2021-01-06,2.44,448593.99999999994,45962.49999999994,0.11,20223.5,9192.500000000002
2021-01-07,2.7,496395.00000000006,47801.00000000012,0.19,34931.5,14708.0
2021-01-08,2.96,544196.0,47800.99999999994,0.3,55155.0,20223.5
2021-01-09,3.07,564419.5,20223.5,0.34,62509.00000000001,7354.000000000007
2021-01-10,3.12,573612.0,9192.5,0.36,66186.0,3676.9999999999927
2021-01-11,3.34,614059.0,40447.0,0.46,84571.0,18385.0
2021-01-12,3.62,665537.0,51478.0,0.55,101117.50000000001,16546.500000000015
2021-01-13,3.93,722530.5,56993.5,0.63,115825.5,14707.999999999985
2021-01-14,4.27,785039.4999999999,62508.99999999988,0.67,123179.5,7354.0
2021-01-15,4.61,847548.5,62509.00000000012,0.71,130533.49999999999,7353.999999999985
2021-01-16,4.78,878803.0,31254.5,0.73,134210.5,3677.0000000000146
2021-01-17,4.86,893511.0000000001,14708.000000000116,0.74,136049.0,1838.5
2021-01-18,5.05,928442.4999999999,34931.49999999977,0.81,148918.50000000003,12869.50000000003
2021-01-19,5.34,981758.9999999999,53316.5,0.92,169142.0,20223.49999999997
2021-01-20,5.69,1046106.5000000001,64347.50000000023,1.04,191204.0,22062.0
2021-01-21,6.08,1117808.0,71701.49999999988,1.12,205912.00000000003,14708.00000000003
2021-01-22,6.5,1195025.0,77217.0,1.19,218781.49999999997,12869.499999999942
2021-01-23,6.73,1237310.5,42285.5,1.23,226135.5,7354.000000000029
2021-01-24,6.82,1253857.0,16546.5,1.26,231651.0,5515.5
2021-01-25,7.08,1301658.0,47801.0,1.4,257389.99999999997,25738.99999999997
2021-01-26,7.39,1358651.4999999998,56993.49999999977,1.58,290483.0,33093.00000000003
2021-01-27,7.77,1428514.4999999998,69863.0,1.77,325414.5,34931.5
2021-01-28,8.18,1503893.0,75378.50000000023,1.94,356669.0,31254.5
2021-01-29,8.59,1579271.5,75378.5,2.08,382408.0,25739.0
2021-01-30,8.82,1621557.0,42285.5,2.16,397116.0,14708.0
2021-01-31,8.92,1639942.0,18385.0,2.19,402631.5,5515.5
2021-02-01,9.15,1682227.5,42285.5,2.36,433886.0,31254.5
2021-02-02,9.44,1735544.0,53316.5,2.57,472494.49999999994,38608.49999999994
2021-02-03,9.81,1803568.5000000002,68024.50000000023,2.82,518457.0,45962.50000000006
2021-02-04,10.23,1880785.5,77216.99999999977,3.1,569935.0,51478.0
2021-02-05,10.64,1956164.0000000002,75378.50000000023,3.38,621412.9999999999,51477.99999999988
2021-02-06,10.89,2002126.5000000002,45962.5,3.51,645313.5,23900.500000000116
2021-02-07,10.98,2018673.0000000002,16546.5,3.56,654506.0,9192.5
2021-02-08,11.23,2064635.5000000002,45962.5,3.77,693114.5,38608.5
2021-02-09,11.54,2121629.0,56993.49999999977,4.03,740915.5,47801.0
2021-02-10,11.91,2189653.5,68024.5,4.34,797909.0,56993.5
2021-02-11,12.29,2259516.5,69863.0,4.67,858579.5,60670.5
2021-02-12,12.71,2336733.5000000005,77217.00000000047,5.01,921088.5,62509.0
2021-02-13,12.97,2384534.5,47800.999999999534,5.19,954181.5,33093.0
2021-02-14,13.07,2402919.5,18385.0,5.25,965212.5,11031.0
2021-02-15,13.26,2437851.0,34931.5,5.41,994628.5,29416.0
2021-02-16,13.5,2481975.0,44124.0,5.65,1038752.5,44124.0
2021-02-17,13.78,2533453.0,51478.0,5.95,1093907.5,55155.0
2021-02-18,14.03,2579415.4999999995,45962.499999999534,6.24,1147224.0,53316.5
2021-02-19,14.28,2625377.9999999995,45962.5,6.57,1207894.5000000002,60670.50000000023
2021-02-20,14.46,2658471.0,33093.000000000466,6.77,1244664.5,36769.99999999977
2021-02-21,14.53,2671340.4999999995,12869.499999999534,6.87,1263049.5,18385.0
2021-02-22,14.72,2706272.0,34931.500000000466,7.11,1307173.5,44124.0
2021-02-23,14.98,2754073.0000000005,47801.000000000466,7.41,1362328.5,55155.0
2021-02-24,15.35,2822097.5,68024.49999999953,7.78,1430353.0000000002,68024.50000000023
2021-02-25,15.81,2906668.5000000005,84571.00000000047,8.18,1503893.0,73539.99999999977
2021-02-26,16.32,3000432.0,93763.49999999953,8.6,1581109.9999999998,77216.99999999977
2021-02-27,16.66,3062941.0,62509.0,8.84,1625233.9999999998,44124.0
2021-02-28,16.82,3092357.0000000005,29416.000000000466,8.93,1641780.4999999998,16546.5
2021-03-01,17.18,3158543.0,66185.99999999953,9.17,1685904.5,44124.00000000023
2021-03-02,17.62,3239437.0000000005,80894.00000000047,9.45,1737382.4999999998,51477.99999999977
2021-03-03,18.14,3335039.0,95601.99999999953,9.79,1799891.4999999998,62509.0
2021-03-04,18.73,3443510.5,108471.5,10.16,1867916.0,68024.50000000023
2021-03-05,19.33,3553820.4999999995,110309.99999999953,10.55,1939617.5000000002,71701.50000000023
2021-03-06,19.74,3629199.0,75378.50000000047,10.81,1987418.5,47800.99999999977
2021-03-07,19.94,3665969.0000000005,36770.000000000466,10.91,2005803.5,18385.0
2021-03-08,20.39,3748701.5,82732.49999999953,11.17,2053604.5,47801.0
2021-03-09,20.93,3847980.4999999995,99278.99999999953,11.49,2112436.5,58832.0
2021-03-10,21.55,3961967.5,113987.00000000047,11.87,2182299.4999999995,69862.99999999953
2021-03-11,22.24,4088823.9999999995,126856.49999999953,12.29,2259516.5,77217.00000000047
2021-03-12,22.87,4204649.5,115825.50000000047,12.75,2344087.5,84571.0
2021-03-13,23.29,4281866.5,77217.0,13.05,2399242.5,55155.0
2021-03-14,23.49,4318636.5,36770.0,13.18,2423143.0,23900.5
2021-03-15,23.94,4401369.0,82732.5,13.44,2470944.0,47801.0
2021-03-16,24.52,4508002.0,106633.0,13.76,2529776.0,58832.0
2021-03-17,25.16,4625666.0,117664.0,14.09,2590446.5,60670.5
2021-03-18,25.85,4752522.5,126856.5,14.45,2656632.5,66186.0
2021-03-19,26.51,4873863.5,121341.0,14.82,2724657.0,68024.5
2021-03-20,26.94,4952919.000000001,79055.50000000093,15.08,2772458.0,47801.0
2021-03-21,27.14,4989689.000000001,36770.0,15.19,2792681.5,20223.5
2021-03-22,27.62,5077937.0,88247.99999999907,15.43,2836805.5,44124.0
2021-03-23,28.22,5188247.0,110310.0,15.78,2901153.0,64347.5
2021-03-24,28.88,5309588.0,121341.0,16.2,2978370.0,77217.0
2021-03-25,29.57,5436444.5,126856.5,16.69,3068456.5000000005,90086.50000000047
2021-03-26,30.2,5552270.0,115825.5,17.23,3167735.5,99278.99999999953
2021-03-27,30.61,5627648.5,75378.5,17.58,3232082.9999999995,64347.499999999534
2021-03-28,30.81,5664418.5,36770.0,17.75,3263337.5,31254.500000000466
2021-03-29,31.3,5754505.0,90086.5,18.13,3333200.5,69863.0
2021-03-30,31.9,5864815.0,110310.0,18.63,3425125.5,91925.0
2021-03-31,32.63,5999025.500000001,134210.50000000093,19.21,3531758.5000000005,106633.00000000047
2021-04-01,33.39,6138751.500000001,139726.0,19.88,3654937.9999999995,123179.49999999907
2021-04-02,34.0,6250900.0,112148.49999999907,20.42,3754217.0000000005,99279.00000000093
2021-04-03,34.4,6324439.999999999,73539.99999999907,20.77,3818564.5,64347.499999999534
2021-04-04,34.53,6348340.5,23900.50000000093,20.88,3838787.9999999995,20223.499999999534
2021-04-05,35.06,6445781.0,97440.5,21.36,3927035.9999999995,88248.0
2021-04-06,35.74,6570799.0,125018.0,21.98,4041023.0,113987.00000000047
2021-04-07,36.51,6712363.5,141564.5,22.67,4167879.5,126856.5
2021-04-08,37.28,6853928.0,141564.5,23.43,4307605.5,139726.0
2021-04-09,38.02,6989977.000000001,136049.00000000093,24.16,4441816.0,134210.5
2021-04-10,38.54,7085578.999999999,95601.99999999814,24.65,4531902.5,90086.5
2021-04-11,38.79,7131541.499999999,45962.5,24.89,4576026.5,44124.0
2021-04-12,39.28,7221628.000000001,90086.50000000186,25.41,4671628.5,95602.0
2021-04-13,39.8,7317229.999999999,95601.99999999814,25.92,4765392.000000001,93763.50000000093
2021-04-14,40.32,7412832.0,95602.00000000093,26.5,4872025.0,106632.99999999907
2021-04-15,40.85,7510272.500000001,97440.50000000093,27.09,4980496.499999999,108471.49999999907
2021-04-16,41.34,7600359.000000001,90086.5,27.66,5085291.0,104794.50000000093
2021-04-17,41.69,7664706.5,64347.49999999907,28.02,5151477.0,66186.0
2021-04-18,41.85,7694122.500000001,29416.00000000093,28.19,5182731.500000001,31254.50000000093
2021-04-19,42.17,7752954.5,58831.99999999907,28.63,5263625.5,80893.99999999907
2021-04-20,42.58,7828332.999999999,75378.49999999907,29.18,5364743.0,101117.5
2021-04-21,43.0,7905550.0,77217.00000000093,29.79,5476891.5,112148.5
2021-04-22,43.42,7982767.000000001,77217.00000000093,30.41,5590878.5,113987.0
2021-04-23,43.82,8056307.0,73539.99999999907,30.98,5695673.0,104794.5
2021-04-24,44.13,8113300.500000001,56993.50000000093,31.34,5761859.0,66186.0
2021-04-25,44.27,8139039.500000001,25739.0,31.49,5789436.499999999,27577.49999999907
2021-04-26,44.55,8190517.499999999,51477.99999999814,31.92,5868492.000000001,79055.50000000186
2021-04-27,44.88,8251188.000000001,60670.50000000186,32.45,5965932.5,97440.49999999907
2021-04-28,45.23,8315535.5,64347.49999999907,33.04,6074403.999999999,108471.49999999907
2021-04-29,45.56,8376206.0,60670.5,33.63,6182875.500000001,108471.50000000186
2021-04-30,45.89,8436876.5,60670.5,34.19,6285831.5,102955.99999999907
2021-05-01,46.11,8477323.5,40447.0,34.54,6350179.0,64347.5
2021-05-02,46.2,8493870.0,16546.5,34.71,6381433.5,31254.5
2021-05-03,46.39,8528801.5,34931.5,35.13,6458650.5,77217.0
2021-05-04,46.64,8574764.0,45962.5,35.66,6556090.999999999,97440.49999999907
2021-05-05,46.88,8618888.0,44124.0,36.2,6655370.000000001,99279.00000000186
2021-05-06,47.12,8663012.0,44124.0,36.75,6756487.5,101117.49999999907
2021-05-07,47.35,8705297.5,42285.5,37.28,6853928.0,97440.5
2021-05-08,47.5,8732875.0,27577.5,37.61,6914598.5,60670.5
2021-05-09,47.57,8745744.5,12869.5,37.74,6938499.0,23900.5
2021-05-10,47.71,8771483.5,25739.0,38.09,7002846.5,64347.5
2021-05-11,47.91,8808253.5,36770.0,38.52,7081902.000000001,79055.50000000093
2021-05-12,48.1,8843185.0,34931.5,38.95,7160957.5,79055.49999999907
